time,OriginalLoad,LoadTSOM,LoadDSOM
7922,56245.75505883912,56503.24672139366,56322.23350292901
7923,55049.296114556324,55333.15152147153,55253.21478180901
7924,55296.61499055076,55708.00389870186,55399.81775965549
7925,56874.08850062227,57111.32817578531,56980.02680260157
7926,60735.65891117208,60771.34470349479,60847.399897850104
7927,69980.87472015299,70034.17210149526,69902.00176692988
7928,77738.78353130608,76437.52606924516,77528.50691389389
7929,79763.69203047261,78899.36706546905,79479.78180174882
7930,79839.15995983916,78902.60933564555,79557.02552587254
7931,80322.4921796775,79436.58650484234,80067.30436947726
7932,80105.41699042168,79646.0555111024,80167.43655696517
7933,79175.49640082452,79297.110161807,79085.35989802972
7934,77655.96654344033,77987.4372544701,77671.48684368744
7935,76284.26361715735,76200.48084042082,76194.47273969701
7936,75764.75219964673,75304.16967739932,76058.49409031389
7937,77700.06087770006,76879.42026954536,77686.38313841252
7938,80670.15287402092,80242.41937960357,80593.22778099516
7939,79577.14190507428,79300.72690547994,79478.17239398981
7940,77406.10573071596,77334.50028649493,77318.75128514576
7941,72766.11307616944,74063.09591339836,72874.52199778512
7942,69158.92828158928,70428.2688336465,69241.96685080173
7943,66836.10567,67848.76854875623,66906.16230248148
7944,62066.661220333306,63213.85542177673,62216.54783806419
7945,58140.07998,57361.449681423284,58135.550095655875
7946,55894.420699794835,56022.2402707727,55748.085021371895
7947,54545.89572272463,55240.237066671085,54698.59493327786
7948,54091.39343499467,54897.78540493932,54063.50569543315
7949,54275.6824313784,54648.842575660485,54244.34346895367
7950,54195.97461160806,54600.401671176965,54215.11905334141
7951,55280.5046747195,55592.09638272325,55234.418112865984
7952,59335.97364730428,59120.81659020443,59269.88533621183
7953,63174.93331730027,62723.814002797095,63328.67059134665
7954,66981.95366490977,67214.3830514281,67032.4388928817
7955,68541.61900708324,68827.65925289193,68399.60857547203
7956,69601.55780278909,69449.23283596337,69588.78985293723
7957,68794.87393638463,69088.4456422577,68725.4796951261
7958,66706.36968035733,66943.22280510495,66782.36190091298
7959,64974.852754723375,64969.63748263692,64841.133790662534
7960,64431.87949795368,64686.39026088125,64732.136630328154
7961,66658.31883329159,66779.33180295085,66664.10050593808
7962,70195.68952960861,69603.9018966741,70167.78826288594
7963,69880.25232892226,69420.33911599597,69855.73170301257
7964,67798.8143369822,67493.35261749825,67817.88184739409
7965,64463.25409429397,64081.67103402797,64498.87763685163
7966,61991.75796207417,61210.6178960018,61965.75643437679
7967,61153.41716115342,60488.93721366383,61116.75100889302
