id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
169;55;23;380;19.403;1.70511;1;1700;1700;0.029;0.33;58.797
170;56;48;380;9.59023;0.842778;1;1700;1700;0.029;0.33;29.0613
171;57;56;380;2.0636;0.181347;1;1700;1700;0.029;0.33;6.25334
172;58;48;380;8.8307;0.776031;1;1700;1700;0.029;0.33;26.7597
173;59;253;220;2.870013;0.538128;3;490;1275;0.025;0.133333;7.17503
174;60;253;380;3.80536;0.334411;1;1700;1700;0.029;0.33;11.5314
175;61;59;380;3.93535;0.345834;1;1700;1700;0.029;0.33;11.9253
176;62;147;380;17.2036;1.51183;1;1700;1700;0.029;0.33;52.1321
177;48;92;380;8.00458;0.703433;1;1700;1700;0.029;0.33;24.2563
178;63;48;380;6.43163;0.565204;1;1700;1700;0.029;0.33;19.4898
179;48;47;380;18.5903;1.63369;1;1700;1700;0.029;0.33;56.3342
180;62;312;380;19.2205;1.68907;1;1700;1700;0.029;0.33;58.2438
181;64;145;220;6.82248;1.279214;2;490;980;0.0375;0.2;17.0562
182;65;70;380;6.78404;0.596173;1;1700;1700;0.029;0.33;20.5577
183;65;313;380;20.7048;1.81952;2;1700;3400;0.0145;0.165;62.7421
184;66;314;380;3.81658;0.335397;1;1700;1700;0.029;0.33;11.5654
185;67;256;380;2.29835;0.201976;1;1700;1700;0.029;0.33;6.96469
186;68;84;380;8.58871;0.754766;1;1700;1700;0.029;0.33;26.0264
187;69;88;380;3.92707;0.345106;1;1700;1700;0.029;0.33;11.9002
188;70;120;380;11.4434;1.00564;1;1700;1700;0.029;0.33;34.6771
189;66;88;380;3.35092;0.294475;1;1700;1700;0.029;0.33;10.1543
190;71;256;220;10.0006;1.87511;1;490;490;0.075;0.4;25.0014
191;68;85;380;5.21753;0.45851;1;1700;1700;0.029;0.33;15.8107
192;68;67;380;6.47157;0.568713;3;1700;3890;0.00966667;0.11;19.6108
193;72;252;380;5.14351;0.452006;1;1700;1700;0.029;0.33;15.5864
194;73;67;380;6.24367;0.548686;1;1700;1700;0.029;0.33;18.9202
195;65;110;220;8.93096;1.674556;2;490;980;0.0375;0.2;22.3274
196;74;271;380;7.02161;0.61705;1;1700;1700;0.029;0.33;21.2776
197;67;72;380;4.75398;0.417774;1;1700;1700;0.029;0.33;14.406
198;65;120;380;18.2077;1.60007;1;1700;1700;0.029;0.33;55.1747
199;75;58;220;12.8414;2.40776;2;490;980;0.0375;0.2;32.1035
200;76;48;380;3.7473;0.32931;3;1700;4135;0.00966667;0.11;11.3555
201;77;58;220;10.0797;1.88995;1;490;490;0.075;0.4;25.1993
202;78;48;220;7.84396;1.47074;1;490;490;0.075;0.4;19.6099
203;59;259;220;4.79828;0.899677;1;490;490;0.075;0.4;11.9957
204;79;253;220;4.8258;0.904838;2;490;980;0.0375;0.2;12.0645
205;71;67;220;11.3984;2.13719;1;490;490;0.075;0.4;28.4959
206;78;315;220;2.42378;0.454459;1;490;490;0.075;0.4;6.05946
207;79;82;220;4.47021;1.309629;3;245;735;0.05;0.170667;8.73087
208;78;59;220;8.59848;1.61222;1;490;490;0.075;0.4;21.4962
209;80;316;220;6.47228;1.21355;1;490;490;0.075;0.4;16.1807
210;81;253;220;10.7583;2.01719;1;490;490;0.075;0.4;26.8958
211;82;253;220;1.81394;0.340114;1;490;490;0.075;0.4;4.53486
212;77;253;220;9.06747;2.65648;1;245;245;0.15;0.512;17.7099
213;78;259;220;4.524;0.84825;1;490;490;0.075;0.4;11.31
214;68;317;220;6.90672;1.29501;1;490;490;0.075;0.4;17.2668
215;83;266;220;6.284;1.17825;1;490;490;0.075;0.4;15.71
216;80;68;220;1.81049;0.339466;1;490;490;0.075;0.4;4.52622
217;71;146;220;7.9004;1.48132;1;490;490;0.075;0.4;19.751
218;65;318;220;7.9998;1.49996;1;490;490;0.075;0.4;19.9995
219;83;313;220;18.91064;3.54574;2;490;980;0.0375;0.2;47.2766
220;77;48;220;4.40036;0.825067;1;490;490;0.075;0.4;11.0009
221;84;313;380;22.4135;1.96967;1;1700;1700;0.029;0.33;67.9198
222;71;262;220;8.27108;1.55083;1;490;490;0.075;0.4;20.6777
223;68;81;220;26.9951;7.90873;1;245;245;0.15;0.512;52.7249
224;68;86;220;3.51926;0.65986;1;490;490;0.075;0.4;8.79814
225;85;313;380;22.6301;1.98871;1;1700;1700;0.029;0.33;68.5762
226;68;319;220;33.2562;9.74303;1;245;245;0.15;0.512;64.9535
227;65;320;220;4.64296;0.870554;2;490;980;0.0375;0.2;11.6074
228;65;83;220;6.20256;1.16298;2;490;980;0.0375;0.2;15.5064
229;86;266;220;4.21376;0.79008;1;490;490;0.075;0.4;10.5344
230;87;62;380;12.2787;1.07904;1;1700;1700;0.029;0.33;37.2082
231;88;321;380;0.813561;0.0714948;3;1700;5100;0.00966667;0.11;2.46534
232;90;322;220;12.0368;2.25691;1;490;490;0.075;0.4;30.0921
233;64;146;220;4.04064;0.75762;2;490;980;0.0375;0.2;10.1016
234;91;110;220;1.53698;0.288184;2;490;980;0.0375;0.2;3.84245
235;64;67;220;4.085;0.765938;1;490;490;0.075;0.4;10.2125
236;67;323;380;3.20788;0.281905;1;1700;1700;0.029;0.33;9.72085
237;92;324;380;2.08736;0.1834342;2;1700;3400;0.0145;0.165;6.32532
238;92;114;380;8.89056;0.781292;1;1700;1700;0.029;0.33;26.9411
239;93;114;380;2.52481;0.221877;1;1700;1700;0.029;0.33;7.65094
240;94;114;220;8.212;1.53975;2;490;980;0.0375;0.2;20.53
241;95;57;380;2.46645;0.216748;1;1700;1700;0.029;0.33;7.47408
242;76;57;220;4.99576;0.936705;1;490;490;0.075;0.4;12.4894
243;77;57;220;5.37828;1.00843;1;490;490;0.075;0.4;13.4457
244;57;325;220;1.183536;0.221914;2;490;980;0.0375;0.2;2.95884
245;95;58;380;5.94399;0.522351;1;1700;1700;0.029;0.33;18.0121
246;57;326;220;3.5919;1.052316;3;245;735;0.05;0.170667;7.01545
247;96;103;220;4.09312;0.76746;2;490;980;0.0375;0.2;10.2328
248;58;327;220;6.92048;1.29759;2;490;980;0.0375;0.2;17.3012
249;67;258;380;9.3485;0.821535;1;1700;1700;0.029;0.33;28.3288
250;58;328;220;6.70292;1.2568;1;490;490;0.075;0.4;16.7573
251;71;329;220;6.38792;1.19773;1;490;490;0.075;0.4;15.9698
252;71;263;220;2.89312;0.54246;1;490;490;0.075;0.4;7.2328
253;49;71;220;3.16816;0.59403;1;490;490;0.075;0.4;7.9204
254;97;24;220;17.0152;3.19036;2;490;980;0.0375;0.2;42.538
255;98;313;220;8.18764;1.53518;1;490;490;0.075;0.4;20.4691
256;99;288;220;32.3726;6.06985;1;490;490;0.075;0.4;80.9314
257;100;250;220;19.361;3.63019;1;490;490;0.075;0.4;48.4026
258;100;288;220;28.9856;5.43479;1;490;490;0.075;0.4;72.4639
259;101;16;380;9.10598;0.800224;2;1700;3400;0.0145;0.165;27.5939
260;101;289;380;5.95692;0.523488;3;1700;5100;0.00966667;0.11;18.0513
261;102;104;220;5.65591;1.657;1;245;245;0.15;0.512;11.0467
262;102;103;220;6.1042;1.14454;1;490;490;0.075;0.4;15.2605
263;102;330;380;2.82967;0.248668;1;1700;1700;0.029;0.33;8.57476
264;102;107;380;4.04158;0.355169;1;1700;1700;0.029;0.33;12.2472
265;57;327;220;3.86532;0.724746;2;490;980;0.0375;0.2;9.66329
266;103;329;220;1.59867;0.299751;1;490;490;0.075;0.4;3.99668
267;104;103;220;2.14286;0.401786;1;490;490;0.075;0.4;5.35715
268;103;331;220;0.89808;0.16839;1;490;490;0.075;0.4;2.2452
269;105;241;220;13.25409;2.48514;3;490;1275;0.025;0.133333;33.1352
