node;longitude;latitude;node_name;country
250;14,03369637;53,5078686;Pasewalk;DE
251;13,39982884;53,79444778;Umspannwerk Windpark Iven;DE
252;7,00877914;51,17425492;Station Ohligs;DE
253;7,125572911;51,44897726;Station Eiberg;DE
254;7,416707912;51,45705216;Station Kruckel;DE
255;6,53175001;50,39005126;Station Dahlem;DE
256;6,612402315;51,03592426;KW Neurath;DE
257;6,808906247;51,26860759;Station Rath;DE
258;6,622843235;51,25871337;;DE
259;7,278947113;51,47228168;Station Laer;DE
260;7,19597933;51,41157531;Station Welper;DE
261;7,324279583;51,62138747;Rheinzink;DE
262;6,330068589;51,24291615;Station Dülken;DE
263;6,542408443;51,29944581;Station Edelstahl Krefeld;DE
264;6,963305454;50,83376292;Station Bollenacker;DE
265;7,095826719;50,82687168;Station Stockem;DE
266;7,047384524;50,90552861;Station Gremberghoven;DE
267;6,577290577;51,55639118;Station Ossenberg;DE
268;7,99395912;51,82309543;Station Enniger;DE
269;9,145176872;52,85324644;Wechold;DE
270;8,318889254;52,06603746;Station Hesseln;DE
271;7,930770086;51,67297102;Geithe;DE
272;7,981221596;51,67352626;Station Lippborg;DE
273;9,923829837;51,89756176;Erzhausen;DE
274;9,851393573;51,64913524;Hardegsen;DE
275;10,23586311;52,29345954;Klein Ilsede;DE
276;10,0876468;52,31513055;Mehrum (220 kV);DE
277;10,41954063;52,23696066;Gleidingen 220 kV;DE
278;10,70273189;47,8264598;Umspannwerk Bidingen Nr. 697 S;DE
279;10,19493344;47,97093688;Umspannwerk Memmingen;DE
280;10,64128677;48,02745124;Umspannstation Irsingen;DE
281;8,623209675;49,35658225;Umspannwerk Neurott;DE
282;9,228088745;51,81245337;Vörden;DE
283;9,387651257;51,64073353;Umspannanlage Würgassen;DE
284;8,735135734;50,15919154;Umspannwerk Frankfurt Nord;DE
285;8,872259639;50,12972532;Dörnigheim 110 kV;DE
286;9,196982359;54,85109861;Umspannwerk Jardelund;DE
287;9,72460611;54,28827025;;DE
288;13,70966971;52,53979526;Neuenhagen;DE
289;10,15750152;53,55513167;Umspannwerk Hamburg/Ost;DE
290;10,38216666;52,99325404;Stadorf;DE
291;10,38594116;51,0018133;Eisenach;DE
292;8,060056958;53,62020258;Inhausen;DE
293;13,21152765;52,58062781;Umspannwerk Teufelsbruch;DE
294;13,14339291;53,90814698;Siedenbrünzow;DE
295;11,85310571;53,08654448;Umspannwerk Perleberg;DE
296;12,49936597;52,40522843;Brandenburg-West;DE
297;13,53704421;52,53745652;Umspannwerk Biesdorf Nord;DE
298;10,97723323;52,16943332;Kraftwerk Buschhaus;DE
299;7,753495465;48,0993557;380-kV-Umspannwerk Eichstetten;DE
300;8,512111329;49,29396565;Umspannwerk Altlußheim;DE
301;8,820024872;53,10738829;Umspannwerk Blockland;DE
302;11,44077465;48,17180355;Hauptumspannwerk Menzing;DE
303;8,695160756;53,09253608;Niedervieland;DE
304;11,51655497;51,58435921;Umspannwerk Klostermansfeld;DE
305;8,141913826;53,56400117;EON Kraftwerk Wilhelmshaven;DE
306;10,1773541;54,33952126;Gemeinschaftskraftwerk Kiel;DE
307;7,304338755;52,482426;;DE
308;7,277153913;52,75324259;Meppen;DE
309;7,317849944;52,46911149;Benteler Stahlwerk;DE
310;12,21477351;54,10032344;Bentwisch HGÜ;DE
311;11,6993927;53,57227449;Wessin;DE
312;8,211705976;51,17798548;Station Arpe;DE
313;7,863945714;50,76824191;Station Dauersberg;DE
314;6,16738169;50,80204429;Station Verlautenheide;DE
315;7,351357841;51,56836861;Kraftwerk Knepper;DE
316;6,828135969;51,16267624;Station Reisholz;DE
317;6,846999311;51,20559177;Station Eller;DE
318;7,012937426;50,61765849;Station Meckenheim;DE
319;7,724384015;51,40933413;Umspannwerk Bixterheide;DE
320;6,842231151;50,85986472;Kraftwerkschaltanlage Knapsack 1;DE
321;6,488123264;50,88107031;Station Hambach;DE
322;8,052837516;53,33388096;Conneforde 110/220 kV;DE
323;6,596019795;50,95252746;Station Paffendorf;DE
324;7,338612586;51,63197813;Schaltanlage Datteln 4;DE
325;6,967343931;51,49086189;LMG;DE
326;6,872873594;51,44578334;Styrum;DE
327;6,787522517;51,5055501;Station Hamborn;DE
328;6,812165881;51,51962001;Station Handbach;DE
329;6,720310001;51,39153254;Station Rheinhausen;DE
330;6,711145274;51,52618755;Walsum Block 10;DE
331;6,723652372;51,37584581;Kraftwerk Huckingen;DE
332;12,18576518;53,8108598;;DE
333;6,72256981;51,47978767;Station Beeck;DE
334;6,683065683;51,57710478;Kraftwerk Voerde;DE
335;6,683106977;51,57564551;Station Möllen;DE
336;6,745416767;51,49864195;;DE
337;7,970656894;51,67684467;;DE
338;7,706327269;51,27858316;Elverlingsen;DE
339;7,450342045;51,41360821;Koepchenwerk;DE
340;6,634481623;51,03597994;RWE Kraftwerk Neurath BoA Bl. F/G;DE
341;7,403544434;51,64444949;Station Lippe;DE
342;8,547160925;49,44053967;Station Rheinau;DE
343;12,21356054;54,11199985;Bentwisch;DE
344;8,273278146;49,02939809;Umspannwerk Maximiliansau;DE
345;8,501808517;49,44491151;Mannheim;DE
346;10,39177606;48,51846091;Umspannwerk Gundelfingen;DE
347;6,702285408;49,82899442;Station Quint;DE
348;8,531514939;50,04787433;Station Kelsterbach;DE
349;8,065737966;50,40606811;Station Limburg;DE
350;7,71823232;51,6743422;Gersteinwerk Block K;DE
351;7,715543419;51,67364307;Gersteinwerk Block F;DE
352;7,714594533;51,67309964;Gersteinwerk Block G;DE
353;7,712700934;51,67266366;Gersteinwerk Block I;DE
354;6,920130455;49,97058189;Station Wengerohr;DE
355;8,414674596;49,70914681;Kernkraftwerk Biblis;DE
356;12,13019063;47,91316548;Umspannwerk Marienberg;DE
357;6,801823657;51,12478806;Station Sankt Peter 220 kV;DE
358;7,20605284;53,34131925;Umspannwerk Kraftwerk Emden;DE
359;7,433489114;50,43651954;;DE
360;7,593301849;50,38594379;Station Koblenz;DE
361;8,12215702;53,56583233;Atlantic;DE
362;8,656599236;50,60554913;Umspannwerk Gießen Nord;DE
363;7,746792484;52,28851151;Kraftwerkschaltanlage Ibbenbüren;DE
364;14,21922829;51,12070799;Umspannwerk Schmölln;DE
365;14,57008655;51,41901368;Kraftwerk Boxberg;DE
366;11,47469082;50,60401548;Pumpspeicherkraftwerk Hohenwarte II;DE
367;10,99101463;50,57352699;Umspannwerk Altenfeld;DE
368;10,50549912;52,30183791;Umspannwerk Braunschweig Nord;DE
369;9,774150438;50,52874965;UW Dipperz;DE
370;9,177311103;49,0393782;Gemeinschaftskraftwerk Neckarwestheim 2;DE
371;9,446918671;49,59026293;Umspannwerk Höpfingen;DE
372;9,207364431;49,17663795;Heizkraftwerk Heilbronn;DE
373;9,694656355;49,23259254;Umspannwerk Kupferzell;DE
