hour,fuel,RD
7719,110.0,108.13015169120258
7719,130.0,52.65934686996503
7719,221.0,1440.3475550354663
7719,50.0,1458.2616709920553
7719,80.0,533.2115565524109
7719,90.0,0.0
7719,140.0,0.0
7719,150.0,0.0
7719,0.0,204.5
7719,30.0,85.0
7719,40.0,144.58857216708677
7719,120.0,0.0
7719,220.0,0.0
7719,SolarPV,0.0
7719,Wind,0.0
7719,LostLoad,27.903310369779668
7720,60.0,187.0513415732556
7720,70.0,2210.422095494975
7720,100.0,409.25488144332616
7720,110.0,108.31885251419872
7720,130.0,52.65934686996503
7720,221.0,1516.807449796477
7720,50.0,0.0
7720,80.0,525.430455395659
7720,90.0,0.0
7720,140.0,0.0
7720,150.0,0.0
7720,0.0,0.0
7720,30.0,0.0
7720,40.0,0.0
7720,120.0,0.0
7720,220.0,0.0
7720,SolarPV,0.0
7720,Wind,0.0
7720,LostLoad,18.422344269305224
7721,60.0,130.08956434552724
7721,70.0,3409.130163524805
7721,100.0,460.99949960181704
7721,110.0,108.31885251419872
7721,130.0,52.65934686996503
7721,221.0,1607.0171899145937
7721,50.0,0.0
7721,80.0,611.9464128651177
7721,90.0,0.0
7721,140.0,0.0
7721,150.0,0.0
7721,0.0,0.0
7721,30.0,0.0
7721,40.0,0.0
7721,120.0,0.0
7721,220.0,0.0
7721,SolarPV,0.0
7721,Wind,0.0
7721,LostLoad,104.86634954594898
7722,60.0,170.21474179685796
7722,70.0,4677.308550655043
7722,100.0,613.9790742193483
7722,110.0,108.13015169120258
7722,130.0,52.65934686996503
7722,221.0,1837.5210648821253
7722,50.0,0.0
7722,80.0,860.0
7722,90.0,0.0
7722,140.0,0.0
7722,150.0,0.0
7722,0.0,0.0
7722,30.0,0.0
7722,40.0,0.0
7722,120.0,0.0
7722,220.0,0.0
7722,SolarPV,0.0
7722,Wind,0.0
7722,LostLoad,324.3201117520549
7723,60.0,0.0
7723,70.0,4147.5030059457395
7723,100.0,796.2489538733682
7723,110.0,110.90541603398012
7723,130.0,68.14925972395285
7723,221.0,1985.9651279752127
7723,50.0,0.0
7723,80.0,860.0
7723,90.0,0.0
7723,140.0,0.0
7723,150.0,0.0
7723,0.0,0.0
7723,30.0,0.0
7723,40.0,0.0
