hour,fuel,RD
7717,Oil(heavy),0.0
7717,WindOnshore,0.0
7717,WindOffshore,0.0
7717,SolarPV,0.0
7717,RoR,0.0
7717,Geothermal,0.0
7717,Hydro,0.0
7717,LostLoad,125.98063592897901
7718,NaturalGas,857.1584342487381
7718,Biomass,0.0
7718,HardCoal,918.0349146572746
7718,Lignite,0.0
7718,Oil(light),0.0
7718,Waste,0.0
7718,OtherFuels,0.0
7718,Nuclear,0.0
7718,Oil(heavy),0.0
7718,WindOnshore,0.0
7718,WindOffshore,0.0
7718,SolarPV,0.0
7718,RoR,0.0
7718,Geothermal,0.0
7718,Hydro,0.0
7718,LostLoad,126.90147228999571
7719,NaturalGas,965.1558955824163
7719,Biomass,0.0
7719,HardCoal,638.8515
7719,Lignite,0.0
7719,Oil(light),0.0
7719,Waste,0.0
7719,OtherFuels,0.0
7719,Nuclear,0.0
7719,Oil(heavy),0.0
7719,WindOnshore,0.0
7719,WindOffshore,0.0
7719,SolarPV,0.0
7719,RoR,0.0
7719,Geothermal,0.0
7719,Hydro,0.0
7719,LostLoad,133.3925487456682
7720,NaturalGas,528.0244424013594
7720,Biomass,0.0
7720,HardCoal,489.23190939757677
7720,Lignite,0.0
7720,Oil(light),0.0
7720,Waste,0.0
7720,OtherFuels,0.0
7720,Nuclear,0.0
7720,Oil(heavy),0.0
7720,WindOnshore,0.0
7720,WindOffshore,0.0
7720,SolarPV,0.0
7720,RoR,0.0
7720,Geothermal,0.0
7720,Hydro,0.0
7720,LostLoad,150.56853395836666
7721,NaturalGas,340.9168588799316
7721,Biomass,0.0
7721,HardCoal,235.32712319381426
7721,Lignite,0.0
7721,Oil(light),0.0
7721,Waste,0.0
7721,OtherFuels,0.0
7721,Nuclear,0.0
7721,Oil(heavy),0.0
7721,WindOnshore,0.0
7721,WindOffshore,0.0
7721,SolarPV,0.0
7721,RoR,0.0
7721,Geothermal,0.0
7721,Hydro,0.0
7721,LostLoad,166.47721673608373
7722,NaturalGas,520.0479266212765
7722,Biomass,0.0
7722,HardCoal,107.90374637569948
7722,Lignite,0.0
7722,Oil(light),0.0
7722,Waste,0.0
7722,OtherFuels,0.0
7722,Nuclear,0.0
7722,Oil(heavy),0.0
7722,WindOnshore,0.0
7722,WindOffshore,0.0
7722,SolarPV,0.0
7722,RoR,0.0
7722,Geothermal,0.0
7722,Hydro,0.0
7722,LostLoad,196.25861852154182
7723,NaturalGas,725.0034076184618
7723,Biomass,0.0
7723,HardCoal,384.336
7723,Lignite,0.0
7723,Oil(light),0.0
7723,Waste,0.0
7723,OtherFuels,0.0
7723,Nuclear,0.0
7723,Oil(heavy),0.0
7723,WindOnshore,0.0
7723,WindOffshore,0.0
7723,SolarPV,0.0
7723,RoR,0.0
7723,Geothermal,0.0
7723,Hydro,0.0
7723,LostLoad,162.27578467781444
7724,NaturalGas,1152.5639862114629
7724,Biomass,0.0
7724,HardCoal,638.8515
7724,Lignite,0.0
7724,Oil(light),0.0
7724,Waste,0.0
7724,OtherFuels,0.0
7724,Nuclear,0.0
7724,Oil(heavy),0.0
7724,WindOnshore,0.0
7724,WindOffshore,0.0
7724,SolarPV,0.0
7724,RoR,0.0
7724,Geothermal,0.0
7724,Hydro,0.0
7724,LostLoad,147.45202739505547
7725,NaturalGas,1415.1139316820222
7725,Biomass,0.0
7725,HardCoal,1419.8684009595013
7725,Lignite,0.0
7725,Oil(light),0.0
7725,Waste,0.0
7725,OtherFuels,0.0
7725,Nuclear,0.0
7725,Oil(heavy),0.0
7725,WindOnshore,0.0
7725,WindOffshore,0.0
7725,SolarPV,0.0
7725,RoR,0.0
7725,Geothermal,0.0
7725,Hydro,0.0
7725,LostLoad,126.61062168660919
7726,NaturalGas,994.6609093048497
7726,Biomass,0.0
7726,HardCoal,2044.4369073698508
7726,Lignite,0.0
7726,Oil(light),0.0
7726,Waste,0.0
7726,OtherFuels,0.0
7726,Nuclear,0.0
7726,Oil(heavy),0.0
7726,WindOnshore,0.0
7726,WindOffshore,0.0
7726,SolarPV,0.0
7726,RoR,0.0
7726,Geothermal,0.0
7726,Hydro,0.0
7726,LostLoad,93.10516922270651
7727,NaturalGas,274.80518808140306
7727,Biomass,0.0
7727,HardCoal,3260.336348403459
7727,Lignite,0.0
7727,Oil(light),0.0
7727,Waste,0.0
7727,OtherFuels,0.0
7727,Nuclear,0.0
7727,Oil(heavy),0.0
7727,WindOnshore,0.0
7727,WindOffshore,0.0
7727,SolarPV,0.0
7727,RoR,0.0
